Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
175	Iron bcc (old)	1.48	1.3727	4	277.38	228.00	2.2724	2.7404	73.001	0.36	0.94	233.97	49.50	38.48	True	no
176	Iron bcc (old)	2.28	1.7038	3	427.53	227.68	1.893	1.2344	57.48	0.30	0.85	247.12	34.43	8.42	True	no
177	Iron bcc (old)	62.92	8.9505	9	293.02	254.72	11.304	1.5951	72.892	2.73	6.96	243.74	46.29	25.18	True	edge
178	Iron bcc (old)	19.2	4.9443	7	207.74	237.23	7.3282	2.1968	21.795	5.52	12.63	81.02	42.79	6.93	True	no
179	Iron bcc (old)	7.8	3.1514	3	489.40	233.08	3.9742	1.5903	15.725	0.81	5.24	214.00	33.58	46.14	True	no
180	Iron bcc (old)	95.88	11.049	8	131.03	259.15	14.461	1.7129	155.79	2.31	5.43	119.63	43.41	64.58	True	edge
181	Iron bcc (old)	6.8	2.9425	3	392.86	236.22	3.3909	1.3281	71.59	2.34	3.06	91.88	43.19	82.85	True	no
182	Iron bcc (old)	5.64	2.6798	4	420.13	235.15	2.7116	1.0239	144.79	0.43	2.04	118.62	28.52	66.80	True	no
183	Iron bcc (old)	45.44	7.6063	8	448.93	247.89	10.675	1.9696	33.247	4.95	8.82	95.83	45.63	69.71	True	no
184	Iron bcc (old)	49.12	7.9083	10	405.87	262.50	8.6943	1.2087	139.17	4.94	10.49	253.80	43.51	12.59	True	edge
185	Iron bcc (old)	16.08	4.5248	4	98.19	241.52	5.0656	1.2533	138.45	1.68	3.57	2.35	11.83	71.46	True	no
186	Iron bcc (old)	33.12	6.4938	5	593.74	247.50	7.9211	1.4879	43.39	0.93	1.93	218.03	47.81	34.16	True	no
187	Iron bcc (old)	2.08	1.6274	3	576.94	235.21	2.1347	1.7206	168.6	0.22	0.39	216.24	50.26	48.51	True	no
188	Iron bcc (old)	54.92	8.3622	9	258.91	253.70	9.5386	1.3012	36.498	0.79	2.50	287.42	41.87	63.61	True	no
